detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,1500,0.3,linear,10.0,0.01,0.40911844537821995,0.416,60.904751777648926,60.904751777648926
SIFT,500,4,1500,0.3,linear,10.0,0.001,0.40911844537821995,0.416,61.31265306472778,61.31265306472778
SIFT,500,4,1500,0.3,rbf,0.1,scale,0.4713531063322334,0.479,78.34510898590088,78.34510898590088
SIFT,500,4,1500,0.3,rbf,0.1,0.01,0.4036365622574383,0.382,44.70093894004822,44.70093894004822
SIFT,500,4,1500,0.3,rbf,0.1,0.001,0.3969094220380314,0.339,43.64557385444641,43.64557385444641
SIFT,500,4,1500,0.3,rbf,1.0,scale,0.4715969410931008,0.482,73.52481889724731,73.52481889724731
SIFT,500,4,1500,0.3,rbf,1.0,0.01,0.4027306482196805,0.409,45.02514410018921,45.02514410018921
SIFT,500,4,1500,0.3,rbf,1.0,0.001,0.40693562666771205,0.295,35.2666232585907,35.2666232585907
SIFT,500,4,1500,0.3,rbf,10.0,scale,0.4394755604689632,0.442,85.39975619316101,85.39975619316101
SIFT,500,4,1500,0.3,rbf,10.0,0.01,0.40978807097433245,0.42,48.97759795188904,48.97759795188904
SIFT,500,4,1500,0.3,rbf,10.0,0.001,0.399219465903948,0.401,40.74309206008911,40.74309206008911
SIFT,500,4,1500,0.4,linear,0.1,scale,0.406348848531122,0.407,34.5376410484314,34.5376410484314
SIFT,500,4,1500,0.4,linear,0.1,0.01,0.406348848531122,0.407,33.63813400268555,33.63813400268555
SIFT,500,4,1500,0.4,linear,0.1,0.001,0.406348848531122,0.407,33.51902890205383,33.51902890205383
SIFT,500,4,1500,0.4,linear,1.0,scale,0.4055655364988745,0.41,38.93999266624451,38.93999266624451
SIFT,500,4,1500,0.4,linear,1.0,0.01,0.4055655364988745,0.41,38.483736991882324,38.483736991882324
SIFT,500,4,1500,0.4,linear,1.0,0.001,0.4055655364988745,0.41,38.926023960113525,38.926023960113525
SIFT,500,4,1500,0.4,linear,10.0,scale,0.4071323081975737,0.408,39.25129008293152,39.25129008293152
SIFT,500,4,1500,0.4,linear,10.0,0.01,0.4071323081975737,0.408,39.22984504699707,39.22984504699707
SIFT,500,4,1500,0.4,linear,10.0,0.001,0.4071323081975737,0.408,39.80366492271423,39.80366492271423
SIFT,500,4,1500,0.4,rbf,0.1,scale,0.46849177233801775,0.459,53.085378885269165,53.085378885269165
SIFT,500,4,1500,0.4,rbf,0.1,0.01,0.4022008767981486,0.221,29.154601097106934,29.154601097106934
SIFT,500,4,1500,0.4,rbf,0.1,0.001,0.39858478349144477,0.276,29.254991054534912,29.254991054534912
SIFT,500,4,1500,0.4,rbf,1.0,scale,0.4685113329555116,0.454,50.19956111907959,50.19956111907959
SIFT,500,4,1500,0.4,rbf,1.0,0.01,0.40441258438674027,0.407,29.311115980148315,29.311115980148315
SIFT,500,4,1500,0.4,rbf,1.0,0.001,0.4005895091431242,0.372,25.018129110336304,25.018129110336304
SIFT,500,4,1500,0.4,rbf,10.0,scale,0.44117216066737697,0.442,65.89332389831543,65.89332389831543
SIFT,500,4,1500,0.4,rbf,10.0,0.01,0.4066435324894605,0.409,39.279139041900635,39.279139041900635
SIFT,500,4,1500,0.4,rbf,10.0,0.001,0.4026594424198621,0.412,31.670289993286133,31.670289993286133
SIFT,500,4,1500,0.5,linear,0.1,scale,0.39163824387225316,0.419,26.371721029281616,26.371721029281616
SIFT,500,4,1500,0.5,linear,0.1,0.01,0.39163824387225316,0.419,25.770714282989502,25.770714282989502
SIFT,500,4,1500,0.5,linear,0.1,0.001,0.39163824387225316,0.419,23.662283897399902,23.662283897399902
SIFT,500,4,1500,0.5,linear,1.0,scale,0.39441391279844495,0.417,29.405272960662842,29.405272960662842
